0	RT @MarcMonster: Siri keeps trying to send me to escort services....is that legal? @Apple
0	@apple Give Siri back!
0	@Twitter returns a Error 500 when we try to post the link to @Apple Support Community detailing how to turn off auto renewal subscriptions.
1	What's wrong with Siri today @apple
0	So apparently that's not the correct @apple
0	Ok so it was a lion and not a leopard. Too much upgrading this weekend. @apple
0	@NoVaTyler: @Foreverfit4u amazing how quickly apple went down the poop tube It couldn't have 2do w/operator error! #sarcasm Still  @apple
0	Mad props to the @apple employee that didn't charge me to replace the back plate on my iPhone! Made my day!
1	Love @apple downloads. 4 hours and i-pad now wonky! #ripstevejobs #thenonsensepersists #neednewipadguide #fatfuckingchance
0	I must admit @apple has made me a very happy camper! I have text tones now! Lol! Ring tone: #MakeMeProud Drakes vers! Text tone: Nicki's
1	I made a reservation and yet I still have to wait in line. Humpt! Oh @apple (@ Apple Store w/ 2 others) http://t.co/JZmVBdNm
1	Ok Hindi keyboard in #iOS5 is something to cheer about.  But @apple  what about  support for 20+ missing Indian languages!? #FAIL
0	@reddclay81 Well then!P.S. Did you respond so fast because of @Apple 's #iOS5 ?
1	@apple @iphone Please deliver my daughter's i4s she is driving me nuts #iphone
0	@Apple needs to take down the Steve Jobs tribute and get back to promoting the brand - put the Cloud on the front page and start explaining
1	@Wisconsin_Mommy @apple that's terrible!  I hope you get an apology!
1	Thanks to @Apple my new iMac is a brick. I cannot re-install Lion and I cannot purchase it because it was installed by the former owner.
0	strange i cannot put my newsstand app into any group. @apple wants to be our new paperboy #iOS #iphone
1	THiS IS WHAT WiLL KiLL APPLE http://t.co/72Jw4z5c RiP @APPLE
0	Currently ordering a BRAND NEW MACBOOK PRO!!! Bahhh... my MacBook is 5 years old. I'll miss it. But it's time. cc: @Apple -
0	has the new iOS5 changed the way the iPad charges? I've noticed I can charge from my laptop & iPhone charger now @toptweets @BBCClick @apple
0	@JarjarTee @apple That's really good. Makes you happy to pay the infamous @apple tax :)
0	@AsimRang @apple @umber the podcasts feature works just fine music purchasing is straight forward what else do you want?
1	Samsung seeks iPhone 4S ban in Japan and AustraliaPatent war intensifies with injunction sought against @Apple http://t.co/QmwjTvnk
1	Wtf @apple 64 pages for the new terms & conditions when u update ur apps from the iTunes store. Do u really think we'll read em? Really???
0	Updated my iOS and started using cloud services. Pretty bad ass @apple my #iPhone 3GS still the champ.
1	@apple No I won't wait until thursday for an available appointment just so a 'genius' can tell me I'm shit out of luck. #now
0	@xwordy iCloud was new; I didn't need weather or stocks but they were there pre #ios5 so I'm not hopeful that this will help @apple
